time;Todesfälle;Timestamp
26.02.2020;0;2020-04-23T17:35:18
27.02.2020;0;2020-04-23T17:35:18
28.02.2020;0;2020-04-23T17:35:18
29.02.2020;0;2020-04-23T17:35:18
01.03.2020;0;2020-04-23T17:35:18
02.03.2020;0;2020-04-23T17:35:18
03.03.2020;0;2020-04-23T17:35:18
04.03.2020;0;2020-04-23T17:35:18
05.03.2020;0;2020-04-23T17:35:18
06.03.2020;0;2020-04-23T17:35:18
07.03.2020;0;2020-04-23T17:35:18
08.03.2020;0;2020-04-23T17:35:18
09.03.2020;0;2020-04-23T17:35:18
10.03.2020;0;2020-04-23T17:35:18
11.03.2020;0;2020-04-23T17:35:18
12.03.2020;1;2020-04-23T17:35:18
13.03.2020;1;2020-04-23T17:35:18
14.03.2020;1;2020-04-23T17:35:18
15.03.2020;3;2020-04-23T17:35:18
16.03.2020;5;2020-04-23T17:35:18
17.03.2020;7;2020-04-23T17:35:18
18.03.2020;11;2020-04-23T17:35:18
19.03.2020;14;2020-04-23T17:35:18
20.03.2020;19;2020-04-23T17:35:18
21.03.2020;22;2020-04-23T17:35:18
22.03.2020;30;2020-04-23T17:35:18
23.03.2020;40;2020-04-23T17:35:18
24.03.2020;50;2020-04-23T17:35:18
25.03.2020;59;2020-04-23T17:35:18
26.03.2020;71;2020-04-23T17:35:18
27.03.2020;88;2020-04-23T17:35:18
28.03.2020;104;2020-04-23T17:35:18
29.03.2020;118;2020-04-23T17:35:18
30.03.2020;137;2020-04-23T17:35:18
31.03.2020;153;2020-04-23T17:35:18
01.04.2020;164;2020-04-23T17:35:18
02.04.2020;182;2020-04-23T17:35:18
03.04.2020;198;2020-04-23T17:35:18
04.04.2020;218;2020-04-23T17:35:18
05.04.2020;239;2020-04-23T17:35:18
06.04.2020;263;2020-04-23T17:35:18
07.04.2020;290;2020-04-23T17:35:18
08.04.2020;307;2020-04-23T17:35:18
09.04.2020;325;2020-04-23T17:35:18
10.04.2020;341;2020-04-23T17:35:18
11.04.2020;355;2020-04-23T17:35:18
12.04.2020;366;2020-04-23T17:35:18
13.04.2020;387;2020-04-23T17:35:18
14.04.2020;399;2020-04-23T17:35:18
15.04.2020;413;2020-04-23T17:35:18
16.04.2020;432;2020-04-23T17:35:18
17.04.2020;444;2020-04-23T17:35:18
18.04.2020;458;2020-04-23T17:35:18
19.04.2020;474;2020-04-23T17:35:18
20.04.2020;482;2020-04-23T17:35:18
21.04.2020;497;2020-04-23T17:35:18
22.04.2020;506;2020-04-23T17:35:18
23.04.2020;508;2020-04-23T17:35:18
