time;Belegung Normalbetten in %;Timestamp
01.04.2020;5;2020-04-30T09:37:59
02.04.2020;5;2020-04-30T09:37:59
03.04.2020;5;2020-04-30T09:37:59
04.04.2020;5;2020-04-30T09:37:59
05.04.2020;4;2020-04-30T09:37:59
06.04.2020;5;2020-04-30T09:37:59
07.04.2020;4;2020-04-30T09:37:59
08.04.2020;4;2020-04-30T09:37:59
09.04.2020;4;2020-04-30T09:37:59
10.04.2020;4;2020-04-30T09:37:59
11.04.2020;4;2020-04-30T09:37:59
12.04.2020;4;2020-04-30T09:37:59
13.04.2020;4;2020-04-30T09:37:59
14.04.2020;4;2020-04-30T09:37:59
15.04.2020;4;2020-04-30T09:37:59
16.04.2020;4;2020-04-30T09:37:59
17.04.2020;4;2020-04-30T09:37:59
18.04.2020;3;2020-04-30T09:37:59
19.04.2020;3;2020-04-30T09:37:59
20.04.2020;3;2020-04-30T09:37:59
21.04.2020;3;2020-04-30T09:37:59
22.04.2020;3;2020-04-30T09:37:59
23.04.2020;3;2020-04-30T09:37:59
24.04.2020;3;2020-04-30T09:37:59
25.04.2020;3;2020-04-30T09:37:59
26.04.2020;3;2020-04-30T09:37:59
27.04.2020;3;2020-04-30T09:37:59
28.04.2020;3;2020-04-30T09:37:59
29.04.2020;2;2020-04-30T09:37:59
30.04.2020;2;2020-04-30T09:37:59
