time;tägliche Erkrankungen;Timestamp
25.02.2020;2;2020-05-12T23:00:00
26.02.2020;0;2020-05-12T23:00:00
27.02.2020;3;2020-05-12T23:00:00
28.02.2020;4;2020-05-12T23:00:00
29.02.2020;2;2020-05-12T23:00:00
01.03.2020;1;2020-05-12T23:00:00
02.03.2020;7;2020-05-12T23:00:00
03.03.2020;7;2020-05-12T23:00:00
04.03.2020;11;2020-05-12T23:00:00
05.03.2020;17;2020-05-12T23:00:00
06.03.2020;19;2020-05-12T23:00:00
07.03.2020;18;2020-05-12T23:00:00
08.03.2020;26;2020-05-12T23:00:00
09.03.2020;33;2020-05-12T23:00:00
10.03.2020;58;2020-05-12T23:00:00
11.03.2020;111;2020-05-12T23:00:00
12.03.2020;102;2020-05-12T23:00:00
13.03.2020;207;2020-05-12T23:00:00
14.03.2020;180;2020-05-12T23:00:00
15.03.2020;205;2020-05-12T23:00:00
16.03.2020;220;2020-05-12T23:00:00
17.03.2020;359;2020-05-12T23:00:00
18.03.2020;359;2020-05-12T23:00:00
19.03.2020;384;2020-05-12T23:00:00
20.03.2020;530;2020-05-12T23:00:00
21.03.2020;473;2020-05-12T23:00:00
22.03.2020;625;2020-05-12T23:00:00
23.03.2020;752;2020-05-12T23:00:00
24.03.2020;682;2020-05-12T23:00:00
25.03.2020;731;2020-05-12T23:00:00
26.03.2020;1060;2020-05-12T23:00:00
27.03.2020;832;2020-05-12T23:00:00
28.03.2020;680;2020-05-12T23:00:00
29.03.2020;530;2020-05-12T23:00:00
30.03.2020;627;2020-05-12T23:00:00
31.03.2020;574;2020-05-12T23:00:00
01.04.2020;511;2020-05-12T23:00:00
02.04.2020;448;2020-05-12T23:00:00
03.04.2020;415;2020-05-12T23:00:00
04.04.2020;295;2020-05-12T23:00:00
05.04.2020;172;2020-05-12T23:00:00
06.04.2020;273;2020-05-12T23:00:00
07.04.2020;308;2020-05-12T23:00:00
08.04.2020;269;2020-05-12T23:00:00
09.04.2020;294;2020-05-12T23:00:00
10.04.2020;371;2020-05-12T23:00:00
11.04.2020;211;2020-05-12T23:00:00
12.04.2020;110;2020-05-12T23:00:00
13.04.2020;89;2020-05-12T23:00:00
14.04.2020;148;2020-05-12T23:00:00
15.04.2020;119;2020-05-12T23:00:00
16.04.2020;128;2020-05-12T23:00:00
17.04.2020;94;2020-05-12T23:00:00
18.04.2020;62;2020-05-12T23:00:00
19.04.2020;49;2020-05-12T23:00:00
20.04.2020;61;2020-05-12T23:00:00
21.04.2020;67;2020-05-12T23:00:00
22.04.2020;82;2020-05-12T23:00:00
23.04.2020;63;2020-05-12T23:00:00
24.04.2020;81;2020-05-12T23:00:00
25.04.2020;58;2020-05-12T23:00:00
26.04.2020;43;2020-05-12T23:00:00
27.04.2020;61;2020-05-12T23:00:00
28.04.2020;53;2020-05-12T23:00:00
29.04.2020;53;2020-05-12T23:00:00
30.04.2020;68;2020-05-12T23:00:00
01.05.2020;31;2020-05-12T23:00:00
02.05.2020;31;2020-05-12T23:00:00
03.05.2020;16;2020-05-12T23:00:00
04.05.2020;25;2020-05-12T23:00:00
05.05.2020;46;2020-05-12T23:00:00
06.05.2020;53;2020-05-12T23:00:00
07.05.2020;32;2020-05-12T23:00:00
08.05.2020;49;2020-05-12T23:00:00
09.05.2020;37;2020-05-12T23:00:00
10.05.2020;10;2020-05-12T23:00:00
11.05.2020;68;2020-05-12T23:00:00
