time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79;2020-05-30T09:39:23
02.04.2020;77;2020-05-30T09:39:23
03.04.2020;74;2020-05-30T09:39:23
04.04.2020;75;2020-05-30T09:39:23
05.04.2020;76;2020-05-30T09:39:23
06.04.2020;76;2020-05-30T09:39:23
07.04.2020;79;2020-05-30T09:39:23
08.04.2020;79;2020-05-30T09:39:23
09.04.2020;79;2020-05-30T09:39:23
10.04.2020;79;2020-05-30T09:39:23
11.04.2020;78;2020-05-30T09:39:23
12.04.2020;78;2020-05-30T09:39:23
13.04.2020;81;2020-05-30T09:39:23
14.04.2020;80;2020-05-30T09:39:23
15.04.2020;80;2020-05-30T09:39:23
16.04.2020;79;2020-05-30T09:39:23
17.04.2020;81;2020-05-30T09:39:23
18.04.2020;82;2020-05-30T09:39:23
19.04.2020;84;2020-05-30T09:39:23
20.04.2020;83;2020-05-30T09:39:23
21.04.2020;83;2020-05-30T09:39:23
22.04.2020;86;2020-05-30T09:39:23
23.04.2020;85;2020-05-30T09:39:23
24.04.2020;87;2020-05-30T09:39:23
25.04.2020;88;2020-05-30T09:39:23
26.04.2020;88;2020-05-30T09:39:23
27.04.2020;88;2020-05-30T09:39:23
28.04.2020;89;2020-05-30T09:39:23
29.04.2020;89;2020-05-30T09:39:23
30.04.2020;89;2020-05-30T09:39:23
01.05.2020;89;2020-05-30T09:39:23
02.05.2020;90;2020-05-30T09:39:23
03.05.2020;90;2020-05-30T09:39:23
04.05.2020;90;2020-05-30T09:39:23
05.05.2020;91;2020-05-30T09:39:23
06.05.2020;91;2020-05-30T09:39:23
07.05.2020;92;2020-05-30T09:39:23
08.05.2020;92;2020-05-30T09:39:23
09.05.2020;93;2020-05-30T09:39:23
10.05.2020;93;2020-05-30T09:39:23
11.05.2020;94;2020-05-30T09:39:23
12.05.2020;95;2020-05-30T09:39:23
13.05.2020;95;2020-05-30T09:39:23
14.05.2020;95;2020-05-30T09:39:23
15.05.2020;95;2020-05-30T09:39:23
16.05.2020;94;2020-05-30T09:39:23
17.05.2020;95;2020-05-30T09:39:23
18.05.2020;95;2020-05-30T09:39:23
19.05.2020;96;2020-05-30T09:39:23
20.05.2020;96;2020-05-30T09:39:23
21.05.2020;96;2020-05-30T09:39:23
22.05.2020;97;2020-05-30T09:39:23
23.05.2020;97;2020-05-30T09:39:23
24.05.2020;97;2020-05-30T09:39:23
25.05.2020;97;2020-05-30T09:39:23
26.05.2020;97;2020-05-30T09:39:23
27.05.2020;96;2020-05-30T09:39:23
28.05.2020;97;2020-05-30T09:39:23
29.05.2020;97;2020-05-30T09:39:23
30.05.2020;97;2020-05-30T09:39:23
