time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-09-13T12:48:39
02.04.2020;23;2020-09-13T12:48:39
03.04.2020;26;2020-09-13T12:48:39
04.04.2020;25;2020-09-13T12:48:39
05.04.2020;24;2020-09-13T12:48:39
06.04.2020;24;2020-09-13T12:48:39
07.04.2020;21;2020-09-13T12:48:39
08.04.2020;21;2020-09-13T12:48:39
09.04.2020;21;2020-09-13T12:48:39
10.04.2020;21;2020-09-13T12:48:39
11.04.2020;22;2020-09-13T12:48:39
12.04.2020;22;2020-09-13T12:48:39
13.04.2020;19;2020-09-13T12:48:39
14.04.2020;20;2020-09-13T12:48:39
15.04.2020;20;2020-09-13T12:48:39
16.04.2020;21;2020-09-13T12:48:39
17.04.2020;19;2020-09-13T12:48:39
18.04.2020;18;2020-09-13T12:48:39
19.04.2020;16;2020-09-13T12:48:39
20.04.2020;17;2020-09-13T12:48:39
21.04.2020;17;2020-09-13T12:48:39
22.04.2020;14;2020-09-13T12:48:39
23.04.2020;15;2020-09-13T12:48:39
24.04.2020;13;2020-09-13T12:48:39
25.04.2020;12;2020-09-13T12:48:39
26.04.2020;12;2020-09-13T12:48:39
27.04.2020;12;2020-09-13T12:48:39
28.04.2020;11;2020-09-13T12:48:39
29.04.2020;11;2020-09-13T12:48:39
30.04.2020;11;2020-09-13T12:48:39
01.05.2020;11;2020-09-13T12:48:39
02.05.2020;10;2020-09-13T12:48:39
03.05.2020;10;2020-09-13T12:48:39
04.05.2020;10;2020-09-13T12:48:39
05.05.2020;9;2020-09-13T12:48:39
06.05.2020;9;2020-09-13T12:48:39
07.05.2020;8;2020-09-13T12:48:39
08.05.2020;8;2020-09-13T12:48:39
09.05.2020;7;2020-09-13T12:48:39
10.05.2020;7;2020-09-13T12:48:39
11.05.2020;6;2020-09-13T12:48:39
12.05.2020;5;2020-09-13T12:48:39
13.05.2020;5;2020-09-13T12:48:39
14.05.2020;5;2020-09-13T12:48:39
15.05.2020;5;2020-09-13T12:48:39
16.05.2020;6;2020-09-13T12:48:39
17.05.2020;5;2020-09-13T12:48:39
18.05.2020;5;2020-09-13T12:48:39
19.05.2020;4;2020-09-13T12:48:39
20.05.2020;4;2020-09-13T12:48:39
21.05.2020;4;2020-09-13T12:48:39
22.05.2020;3;2020-09-13T12:48:39
23.05.2020;3;2020-09-13T12:48:39
24.05.2020;3;2020-09-13T12:48:39
25.05.2020;3;2020-09-13T12:48:39
26.05.2020;3;2020-09-13T12:48:39
27.05.2020;4;2020-09-13T12:48:39
28.05.2020;3;2020-09-13T12:48:39
29.05.2020;3;2020-09-13T12:48:39
30.05.2020;3;2020-09-13T12:48:39
31.05.2020;3;2020-09-13T12:48:39
01.06.2020;3;2020-09-13T12:48:39
02.06.2020;3;2020-09-13T12:48:39
03.06.2020;2;2020-09-13T12:48:39
04.06.2020;3;2020-09-13T12:48:39
05.06.2020;2;2020-09-13T12:48:39
06.06.2020;2;2020-09-13T12:48:39
07.06.2020;2;2020-09-13T12:48:39
