Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
12.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Salzburg;5;555221;1;1;0;0;0;0;0;0
12.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
12.02.2020 00:00:00;Österreich;10;8858775;1;1;0;0;0;0;0;0
13.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Salzburg;5;555221;0;1;1;0,1801085;0;0;0;0
13.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
13.02.2020 00:00:00;Österreich;10;8858775;0;1;1;0,01128824;0;0;0;0
14.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Salzburg;5;555221;0;1;1;0,1801085;0;0;0;0
14.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
14.02.2020 00:00:00;Österreich;10;8858775;0;1;1;0,01128824;0;0;0;0
15.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Salzburg;5;555221;0;1;1;0,1801085;0;0;0;0
15.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
15.02.2020 00:00:00;Österreich;10;8858775;0;1;1;0,01128824;0;0;0;0
16.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Salzburg;5;555221;0;1;1;0,1801085;0;0;0;0
16.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
16.02.2020 00:00:00;Österreich;10;8858775;0;1;1;0,01128824;0;0;0;0
17.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Salzburg;5;555221;0;1;1;0,1801085;0;0;0;0
17.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
17.02.2020 00:00:00;Österreich;10;8858775;0;1;1;0,01128824;0;0;0;0
18.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Salzburg;5;555221;0;1;1;0,1801085;0;0;0;0
18.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
18.02.2020 00:00:00;Österreich;10;8858775;0;1;1;0,01128824;0;0;0;0
19.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
19.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
