AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
1;<5;Burgenland;1;6299;M;15;11;0
1;<5;Burgenland;1;5852;W;8;6;0
1;<5;Kärnten;2;12352;M;13;7;0
1;<5;Kärnten;2;11792;W;10;7;0
1;<5;Niederösterreich;3;40461;M;58;43;0
1;<5;Niederösterreich;3;38258;W;50;33;0
1;<5;Oberösterreich;4;39625;M;158;132;0
1;<5;Oberösterreich;4;37227;W;133;110;0
1;<5;Salzburg;5;14436;M;40;24;0
1;<5;Salzburg;5;13715;W;37;25;0
1;<5;Steiermark;6;29062;M;35;25;0
1;<5;Steiermark;6;27180;W;38;28;0
1;<5;Tirol;7;19650;M;67;56;0
1;<5;Tirol;7;18347;W;64;51;0
1;<5;Vorarlberg;8;11173;M;31;15;0
1;<5;Vorarlberg;8;10465;W;24;12;0
1;<5;Wien;9;51014;M;217;135;0
1;<5;Wien;9;48225;W;203;111;0
1;<5;Österreich;10;224072;M;634;448;0
1;<5;Österreich;10;211061;W;567;383;0
2;5-14;Burgenland;1;13540;M;75;55;0
2;5-14;Burgenland;1;12963;W;49;28;0
2;5-14;Kärnten;2;26230;M;66;34;0
2;5-14;Kärnten;2;24760;W;63;22;0
2;5-14;Niederösterreich;3;84110;M;456;259;0
2;5-14;Niederösterreich;3;79748;W;405;233;0
2;5-14;Oberösterreich;4;75629;M;684;449;0
2;5-14;Oberösterreich;4;71764;W;629;407;0
2;5-14;Salzburg;5;27154;M;222;134;0
2;5-14;Salzburg;5;25973;W;211;115;0
2;5-14;Steiermark;6;56727;M;209;133;0
2;5-14;Steiermark;6;53657;W;188;125;0
2;5-14;Tirol;7;37056;M;443;307;0
2;5-14;Tirol;7;35165;W;407;279;0
2;5-14;Vorarlberg;8;21275;M;195;94;0
2;5-14;Vorarlberg;8;20340;W;175;90;0
2;5-14;Wien;9;91779;M;1180;564;0
2;5-14;Wien;9;85689;W;1051;504;0
2;5-14;Österreich;10;433500;M;3530;2029;0
2;5-14;Österreich;10;410059;W;3178;1803;0
3;15-24;Burgenland;1;14439;M;255;170;0
3;15-24;Burgenland;1;13325;W;138;96;0
3;15-24;Kärnten;2;28982;M;230;139;0
3;15-24;Kärnten;2;26664;W;168;109;0
3;15-24;Niederösterreich;3;91319;M;1401;935;0
3;15-24;Niederösterreich;3;84326;W;1044;670;0
3;15-24;Oberösterreich;4;85564;M;1506;910;0
3;15-24;Oberösterreich;4;79443;W;1358;801;0
3;15-24;Salzburg;5;31945;M;560;346;0
3;15-24;Salzburg;5;29505;W;518;342;0
3;15-24;Steiermark;6;68685;M;636;361;0
3;15-24;Steiermark;6;63443;W;575;378;0
3;15-24;Tirol;7;44135;M;1189;903;0
3;15-24;Tirol;7;41816;W;940;714;0
3;15-24;Vorarlberg;8;23582;M;497;233;0
3;15-24;Vorarlberg;8;21356;W;455;212;0
3;15-24;Wien;9;111527;M;3226;1734;0
3;15-24;Wien;9;109711;W;2999;1550;0
3;15-24;Österreich;10;500178;M;9500;5731;0
