Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;174;0;100
Rust(Stadt);102;1980;15;0;8
Eisenstadt-Umgebung;103;43236;456;4;157
Güssing;104;25699;262;0;104
Jennersdorf;105;17097;145;1;76
Mattersburg;106;40042;383;1;108
Neusiedl am See;107;59990;609;10;150
Oberpullendorf;108;37384;404;2;150
Oberwart;109;54192;786;12;273
Klagenfurt Stadt;201;101300;870;15;336
Villach Stadt;202;62882;397;0;154
Hermagor;203;18054;178;0;73
Klagenfurt Land;204;60014;385;2;148
Sankt Veit an der Glan;205;54186;412;0;133
Spittal an der Drau;206;75868;242;1;82
Villach Land;207;64618;375;3;147
Völkermarkt;208;41862;365;3;98
Wolfsberg;209;52607;333;2;124
Feldkirchen;210;29902;198;1;88
Krems an der Donau(Stadt);301;25036;313;6;90
Sankt Pölten(Stadt);302;55514;728;8;196
Waidhofen an der Ybbs(Stadt);303;11222;100;3;34
Wiener Neustadt(Stadt);304;45823;722;0;222
Amstetten;305;116520;1375;22;490
Baden;306;146751;1651;8;427
Bruck an der Leitha;307;103735;1142;5;254
Gänserndorf;308;104782;963;7;167
Gmünd;309;36553;496;3;199
Hollabrunn;310;51033;379;2;165
Horn;311;30936;221;5;58
Korneuburg;312;91254;1106;7;259
Krems(Land);313;56487;773;9;222
Lilienfeld;314;25655;347;6;106
Melk;315;78191;779;6;196
Mistelbach;316;75625;601;12;94
Mödling;317;119115;1500;13;389
Neunkirchen;318;86343;989;10;266
Sankt Pölten(Land);319;131729;1445;14;378
Scheibbs;320;41414;427;2;183
Tulln;321;104593;1236;7;358
Waidhofen an der Thaya;322;25682;386;2;109
Wiener Neustadt(Land);323;78307;727;10;185
Zwettl;325;41987;500;3;139
Linz(Stadt);401;206595;3157;36;804
Steyr(Stadt);402;38056;527;2;202
Wels(Stadt);403;62470;1190;8;305
Braunau am Inn;404;105553;1062;8;389
Eferding;405;33178;653;7;293
Freistadt;406;66861;1044;12;391
Gmunden;407;101859;1488;3;611
Grieskirchen;408;64875;1168;2;477
Kirchdorf an der Krems;409;57071;481;4;207
Linz-Land;410;151371;2123;13;565
Perg;411;68968;1011;5;334
Ried im Innkreis;412;61690;1206;4;449
Rohrbach;413;56545;1121;2;448
Schärding;414;57391;1017;2;414
Steyr-Land;415;60717;901;14;359
Urfahr-Umgebung;416;86005;1348;7;569
Vöcklabruck;417;137297;1882;8;640
Wels-Land;418;73777;912;1;293
Salzburg(Stadt);501;155021;1757;4;582
Hallein;502;60824;1291;5;277
Salzburg-Umgebung;503;153492;2185;16;732
Sankt Johann im Pongau;504;81194;1826;17;532
Tamsweg;505;20251;234;2;95
Zell am See;506;87628;1061;9;254
Graz(Stadt);601;291072;3130;52;906
Deutschlandsberg;603;60867;431;3;185
Graz-Umgebung;606;156070;1341;52;408
Leibnitz;610;84756;909;16;355
Leoben;611;59700;581;6;215
Liezen;612;79652;835;3;338
Murau;614;27543;126;0;72
Voitsberg;616;51044;532;10;159
Weiz;617;90654;847;20;298
Murtal;620;71698;535;3;189
Bruck-Mürzzuschlag;621;98697;825;25;371
Hartberg-Fürstenfeld;622;90606;1001;51;333
Südoststeiermark;623;84036;756;4;414
Innsbruck-Stadt;701;131961;3235;14;611
Imst;702;60474;1056;6;259
Innsbruck-Land;703;180453;3206;15;903
Kitzbühel;704;64168;938;11;311
Kufstein;705;110287;2159;38;602
Landeck;706;44386;1503;18;125
Lienz;707;48738;492;6;145
Reutte;708;32838;302;1;111
Schwaz;709;84329;2433;17;736
Bludenz;801;64107;1045;7;278
Bregenz;802;134987;2144;15;739
Dornbirn;803;89912;1955;10;757
Feldkirch;804;108133;1798;7;528
Wien;900;1911191;35024;381;5472
