Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4837;4165,73367552578;305;2020-12-10T17:02:00
Baden;3659;2502,68462343454;306;2020-12-10T17:02:00
Bludenz;2541;3988,13447593935;801;2020-12-10T17:02:00
Braunau am Inn;3685;3529,4230327178;404;2020-12-10T17:02:00
Bregenz;5486;4082,36160823914;802;2020-12-10T17:02:00
Bruck an der Leitha;2413;2365,4543672189;307;2020-12-10T17:02:00
Bruck-Mürzzuschlag;3074;3105,55241251111;621;2020-12-10T17:02:00
Deutschlandsberg;1303;2142,35214810674;603;2020-12-10T17:02:00
Dornbirn;4404;4946,03609573118;803;2020-12-10T17:02:00
Eferding;1891;5703,34177826035;405;2020-12-10T17:02:00
Eisenstadt(Stadt);418;2855,77645692423;101;2020-12-10T17:02:00
Eisenstadt-Umgebung;1091;2541,52398257507;103;2020-12-10T17:02:00
Feldkirch;4594;4287,08741216323;804;2020-12-10T17:02:00
Feldkirchen;932;3113,20439589805;210;2020-12-10T17:02:00
Freistadt;3201;4804,79128202819;406;2020-12-10T17:02:00
Gänserndorf;1848;1782,30426479949;308;2020-12-10T17:02:00
Gmünd;1279;3478,09534169091;309;2020-12-10T17:02:00
Gmunden;3705;3645,54122265844;407;2020-12-10T17:02:00
Graz(Stadt);8051;2787,6844663892;601;2020-12-10T17:02:00
Graz-Umgebung;3942;2555,42590431739;606;2020-12-10T17:02:00
Grieskirchen;3382;5225,50640441279;408;2020-12-10T17:02:00
Güssing;782;3031,36023568632;104;2020-12-10T17:02:00
Hallein;3053;5056,81253519727;502;2020-12-10T17:02:00
Hartberg-Fürstenfeld;3062;3378,87047295359;622;2020-12-10T17:02:00
Hermagor;607;3330,77260755048;203;2020-12-10T17:02:00
Hollabrunn;1053;2070,47072240356;310;2020-12-10T17:02:00
Horn;520;1672,56352524928;311;2020-12-10T17:02:00
Imst;2529;4211,06966830958;702;2020-12-10T17:02:00
Innsbruck-Land;7899;4405,02347784383;703;2020-12-10T17:02:00
Innsbruck-Stadt;5942;4497,7670123382;701;2020-12-10T17:02:00
Jennersdorf;556;3257,939763272;105;2020-12-10T17:02:00
Kirchdorf an der Krems;1923;3381,63401681145;409;2020-12-10T17:02:00
Kitzbühel;2298;3597,31375526369;704;2020-12-10T17:02:00
Klagenfurt Land;1803;3015,05016722408;204;2020-12-10T17:02:00
Klagenfurt Stadt;3356;3328,80367398355;201;2020-12-10T17:02:00
Korneuburg;2104;2314,9115954626;312;2020-12-10T17:02:00
Krems an der Donau(Stadt);814;3272,23026210002;301;2020-12-10T17:02:00
Krems(Land);1727;3051,45239946286;313;2020-12-10T17:02:00
Kufstein;5725;5219,63494465819;705;2020-12-10T17:02:00
Landeck;2241;5051,62075650331;706;2020-12-10T17:02:00
Leibnitz;2556;3098,78279423888;610;2020-12-10T17:02:00
Leoben;1768;2943,72294372294;611;2020-12-10T17:02:00
Lienz;2117;4342,2968842943;707;2020-12-10T17:02:00
Liezen (inkl. Gröbming);2427;3037,50891728514;612;2020-12-10T17:02:00
Lilienfeld;850;3293,04199597087;314;2020-12-10T17:02:00
Linz(Stadt);7669;3727,77383510106;401;2020-12-10T17:02:00
Linz-Land;5681;3780,45290903888;410;2020-12-10T17:02:00
Mattersburg;1047;2622,41703193488;106;2020-12-10T17:02:00
Melk;2597;3331,11002796234;315;2020-12-10T17:02:00
Mistelbach;1347;1784,50776996145;316;2020-12-10T17:02:00
Mödling;2874;2415,16664145616;317;2020-12-10T17:02:00
Murau;808;2921,29144220688;614;2020-12-10T17:02:00
Murtal;2178;3024,83195378035;620;2020-12-10T17:02:00
Neunkirchen;2255;2613,25051279971;318;2020-12-10T17:02:00
Neusiedl am See;1371;2302,18968296615;107;2020-12-10T17:02:00
Oberpullendorf;1206;3214,8855063578;108;2020-12-10T17:02:00
Oberwart;1668;3084,5476736445;109;2020-12-10T17:02:00
Perg;3154;4607,13711856732;411;2020-12-10T17:02:00
Reutte;812;2485,46066727885;708;2020-12-10T17:02:00
Ried im Innkreis;3302;5395,07221750212;412;2020-12-10T17:02:00
Rohrbach;3495;6183,21420989314;413;2020-12-10T17:02:00
Rust(Stadt);50;2577,31958762887;102;2020-12-10T17:02:00
Salzburg(Stadt);5431;3521,79805591041;501;2020-12-10T17:02:00
Salzburg-Umgebung;5913;3882,95322463078;503;2020-12-10T17:02:00
Sankt Johann im Pongau;4642;5761,2351532151;504;2020-12-10T17:02:00
Sankt Pölten(Land);3695;2819,66362443149;319;2020-12-10T17:02:00
Sankt Pölten(Stadt);1985;3606,20594433544;302;2020-12-10T17:02:00
Sankt Veit an der Glan;2043;3744,84465218587;205;2020-12-10T17:02:00
Schärding;2978;5196,57284450416;414;2020-12-10T17:02:00
Scheibbs;1810;4371,66388909016;320;2020-12-10T17:02:00
Schwaz;6329;7545,93254086536;709;2020-12-10T17:02:00
Spittal an der Drau;1511;1985,78018425307;206;2020-12-10T17:02:00
Steyr(Stadt);1369;3584,4264655827;402;2020-12-10T17:02:00
Steyr-Land;2634;4358,97860228044;415;2020-12-10T17:02:00
Südoststeiermark;2700;3141,47090648888;623;2020-12-10T17:02:00
Tamsweg;1187;5841,53543307087;505;2020-12-10T17:02:00
Tulln;2527;2435,16974877374;321;2020-12-10T17:02:00
Urfahr-Umgebung;4312;5042,97994269341;416;2020-12-10T17:02:00
Villach Land;1834;2836,02399950516;207;2020-12-10T17:02:00
Villach Stadt;1592;2557,71733367608;202;2020-12-10T17:02:00
Vöcklabruck;5601;4110,73517647318;417;2020-12-10T17:02:00
Voitsberg;1723;3367,79969117101;616;2020-12-10T17:02:00
Völkermarkt;1868;4460,57595873728;208;2020-12-10T17:02:00
Waidhofen an der Thaya;746;2881,64400494438;322;2020-12-10T17:02:00
Waidhofen an der Ybbs(Stadt);378;3356,71787585472;303;2020-12-10T17:02:00
Weiz;2309;2555,81506038099;617;2020-12-10T17:02:00
Wels(Stadt);2788;4516,66207656293;403;2020-12-10T17:02:00
Wels-Land;2665;3645,99009494623;418;2020-12-10T17:02:00
Wien(Stadt);65148;3433,37596858167;900;2020-12-10T17:02:00
Wiener Neustadt(Land);1790;2295,13661832776;323;2020-12-10T17:02:00
Wiener Neustadt(Stadt);1423;3142,87607394483;304;2020-12-10T17:02:00
Wolfsberg;1950;3698,36513295149;209;2020-12-10T17:02:00
Zell am See;3644;4166,38082824541;506;2020-12-10T17:02:00
Zwettl;1404;3325,28065937189;325;2020-12-10T17:02:00
