Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;248;0;70
Rust(Stadt);102;1980;21;0;5
Eisenstadt-Umgebung;103;43236;623;4;162
Güssing;104;25699;435;1;164
Jennersdorf;105;17097;292;2;145
Mattersburg;106;40042;540;4;147
Neusiedl am See;107;59990;776;10;156
Oberpullendorf;108;37384;662;2;247
Oberwart;109;54192;1076;17;287
Klagenfurt Stadt;201;101300;1325;29;358
Villach Stadt;202;62882;709;1;298
Hermagor;203;18054;275;0;89
Klagenfurt Land;204;60014;666;2;254
Sankt Veit an der Glan;205;54186;653;3;230
Spittal an der Drau;206;75868;420;2;160
Villach Land;207;64618;621;4;219
Völkermarkt;208;41862;667;5;255
Wolfsberg;209;52607;605;4;239
Feldkirchen;210;29902;342;1;129
Krems an der Donau(Stadt);301;25036;439;6;123
Sankt Pölten(Stadt);302;55514;975;8;237
Waidhofen an der Ybbs(Stadt);303;11222;169;3;69
Wiener Neustadt(Stadt);304;45823;861;0;137
Amstetten;305;116520;2163;27;764
Baden;306;146751;2180;11;498
Bruck an der Leitha;307;103735;1412;5;254
Gänserndorf;308;104782;1201;7;230
Gmünd;309;36553;708;6;208
Hollabrunn;310;51033;601;2;192
Horn;311;30936;301;5;79
Korneuburg;312;91254;1426;7;305
Krems(Land);313;56487;1069;9;296
Lilienfeld;314;25655;476;6;125
Melk;315;78191;1110;6;324
Mistelbach;316;75625;777;12;170
Mödling;317;119115;1905;14;383
Neunkirchen;318;86343;1248;13;255
Sankt Pölten(Land);319;131729;2006;18;542
Scheibbs;320;41414;745;2;307
Tulln;321;104593;1642;7;389
Waidhofen an der Thaya;322;25682;490;2;101
Wiener Neustadt(Land);323;78307;1018;10;277
Zwettl;325;41987;672;3;172
Linz(Stadt);401;206595;4360;46;1151
Steyr(Stadt);402;38056;780;2;236
Wels(Stadt);403;62470;1547;8;350
Braunau am Inn;404;105553;1581;11;504
Eferding;405;33178;1018;7;359
Freistadt;406;66861;1647;21;574
Gmunden;407;101859;2058;10;560
Grieskirchen;408;64875;1795;3;617
Kirchdorf an der Krems;409;57071;884;7;391
Linz-Land;410;151371;3055;14;883
Perg;411;68968;1605;8;586
Ried im Innkreis;412;61690;1876;12;631
Rohrbach;413;56545;1907;11;747
Schärding;414;57391;1656;4;579
Steyr-Land;415;60717;1459;18;550
Urfahr-Umgebung;416;86005;2201;13;819
Vöcklabruck;417;137297;2882;11;984
Wels-Land;418;73777;1380;6;465
Salzburg(Stadt);501;155021;2423;5;670
Hallein;502;60824;1634;9;326
Salzburg-Umgebung;503;153492;3083;17;888
Sankt Johann im Pongau;504;81194;2560;19;738
Tamsweg;505;20251;436;3;202
Zell am See;506;87628;1447;10;386
Graz(Stadt);601;291072;4493;52;1322
Deutschlandsberg;603;60867;663;3;217
Graz-Umgebung;606;156070;1957;54;604
Leibnitz;610;84756;1398;17;481
Leoben;611;59700;881;14;295
Liezen;612;79652;1307;9;470
Murau;614;27543;243;1;114
Voitsberg;616;51044;765;18;226
Weiz;617;90654;1171;21;324
Murtal;620;71698;887;6;348
Bruck-Mürzzuschlag;621;98697;1364;31;532
Hartberg-Fürstenfeld;622;90606;1562;54;555
Südoststeiermark;623;84036;1268;10;500
Innsbruck-Stadt;701;131961;4115;23;764
Imst;702;60474;1434;6;377
Innsbruck-Land;703;180453;4542;15;1204
Kitzbühel;704;64168;1320;13;367
Kufstein;705;110287;3050;42;790
Landeck;706;44386;1721;18;215
Lienz;707;48738;770;6;289
Reutte;708;32838;417;2;98
Schwaz;709;84329;3588;22;1053
Bludenz;801;64107;1457;8;405
Bregenz;802;134987;3226;16;1077
Dornbirn;803;89912;2799;18;828
Feldkirch;804;108133;2576;12;763
Wien;900;1911191;42496;430;5719
