AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
1;<5;Burgenland;1;6271;M;39;33;0
1;<5;Burgenland;1;5908;W;17;14;0
1;<5;Kärnten;2;12224;M;55;39;0
1;<5;Kärnten;2;11683;W;52;39;0
1;<5;Niederösterreich;3;40492;M;166;130;0
1;<5;Niederösterreich;3;38354;W;127;107;0
1;<5;Oberösterreich;4;39650;M;248;240;0
1;<5;Oberösterreich;4;37428;W;217;205;0
1;<5;Salzburg;5;14528;M;118;112;0
1;<5;Salzburg;5;13799;W;83;79;0
1;<5;Steiermark;6;29066;M;130;110;0
1;<5;Steiermark;6;27485;W;109;96;0
1;<5;Tirol;7;19768;M;220;206;0
1;<5;Tirol;7;18326;W;169;160;0
1;<5;Vorarlberg;8;11200;M;94;84;0
1;<5;Vorarlberg;8;10560;W;72;67;0
1;<5;Wien;9;50897;M;468;152;0
1;<5;Wien;9;48196;W;447;139;0
1;<5;Österreich;10;224096;M;1538;1106;0
1;<5;Österreich;10;211739;W;1293;906;0
2;5-14;Burgenland;1;13528;M;309;277;0
2;5-14;Burgenland;1;12962;W;212;191;0
2;5-14;Kärnten;2;26135;M;379;261;0
2;5-14;Kärnten;2;24667;W;352;261;0
2;5-14;Niederösterreich;3;84399;M;1667;1337;0
2;5-14;Niederösterreich;3;80034;W;1464;1217;0
2;5-14;Oberösterreich;4;76223;M;1571;1439;0
2;5-14;Oberösterreich;4;72202;W;1412;1325;0
2;5-14;Salzburg;5;27260;M;1015;941;0
2;5-14;Salzburg;5;26109;W;898;844;0
2;5-14;Steiermark;6;56981;M;690;613;0
2;5-14;Steiermark;6;53566;W;600;549;0
2;5-14;Tirol;7;36954;M;1317;1243;0
2;5-14;Tirol;7;35185;W;1299;1225;0
2;5-14;Vorarlberg;8;21371;M;554;506;0
2;5-14;Vorarlberg;8;20345;W;515;478;0
2;5-14;Wien;9;92739;M;2567;715;0
2;5-14;Wien;9;86565;W;2330;638;0
2;5-14;Österreich;10;435590;M;10069;7332;0
2;5-14;Österreich;10;411635;W;9082;6728;0
3;15-24;Burgenland;1;14211;M;635;585;0
3;15-24;Burgenland;1;13131;W;494;427;0
3;15-24;Kärnten;2;28406;M;1340;955;0
3;15-24;Kärnten;2;26320;W;1136;795;0
3;15-24;Niederösterreich;3;89919;M;3964;3421;1
3;15-24;Niederösterreich;3;83156;W;3410;2872;0
3;15-24;Oberösterreich;4;83998;M;4822;4400;0
3;15-24;Oberösterreich;4;78239;W;4652;4246;0
3;15-24;Salzburg;5;31568;M;2080;1908;0
3;15-24;Salzburg;5;29388;W;1844;1699;0
3;15-24;Steiermark;6;66905;M;2357;2116;0
3;15-24;Steiermark;6;62165;W;2384;2109;0
3;15-24;Tirol;7;42988;M;2972;2824;0
3;15-24;Tirol;7;40872;W;2707;2554;0
3;15-24;Vorarlberg;8;23260;M;1453;1310;0
3;15-24;Vorarlberg;8;21284;W;1400;1274;0
3;15-24;Wien;9;110503;M;5822;2165;1
3;15-24;Wien;9;109312;W;5671;1960;0
3;15-24;Österreich;10;491758;M;25445;19684;2
3;15-24;Österreich;10;463867;W;23698;17936;0
4;25-34;Burgenland;1;15869;M;596;527;0
4;25-34;Burgenland;1;15497;W;543;469;0
4;25-34;Kärnten;2;33170;M;1416;924;0
4;25-34;Kärnten;2;32067;W;1381;920;0
4;25-34;Niederösterreich;3;100196;M;3833;3288;0
4;25-34;Niederösterreich;3;96933;W;3672;3054;0
4;25-34;Oberösterreich;4;102058;M;5757;5226;0
4;25-34;Oberösterreich;4;95289;W;5781;5206;1
4;25-34;Salzburg;5;38299;M;2084;1921;1
4;25-34;Salzburg;5;37188;W;2069;1900;0
4;25-34;Steiermark;6;85306;M;3063;2699;0
4;25-34;Steiermark;6;79007;W;3149;2747;0
4;25-34;Tirol;7;54701;M;3134;2978;0
4;25-34;Tirol;7;52293;W;3088;2912;0
4;25-34;Vorarlberg;8;27098;M;1465;1326;0
4;25-34;Vorarlberg;8;25794;W;1465;1345;0
4;25-34;Wien;9;160526;M;7218;2326;2
4;25-34;Wien;9;157739;W;6903;1986;1
4;25-34;Österreich;10;617223;M;28566;21215;3
4;25-34;Österreich;10;591807;W;28052;20540;2
5;35-44;Burgenland;1;18298;M;643;566;0
5;35-44;Burgenland;1;19387;W;709;637;1
5;35-44;Kärnten;2;34383;M;1250;832;1
5;35-44;Kärnten;2;34229;W;1649;1102;1
5;35-44;Niederösterreich;3;106173;M;3586;3061;4
5;35-44;Niederösterreich;3;107318;W;3892;3311;0
5;35-44;Oberösterreich;4;97716;M;5005;4552;3
5;35-44;Oberösterreich;4;93775;W;5617;5055;1
5;35-44;Salzburg;5;36981;M;1951;1801;0
5;35-44;Salzburg;5;36583;W;1980;1838;0
5;35-44;Steiermark;6;81448;M;2725;2379;1
5;35-44;Steiermark;6;78824;W;3105;2672;0
5;35-44;Tirol;7;49976;M;2609;2442;0
5;35-44;Tirol;7;50079;W;2921;2749;0
5;35-44;Vorarlberg;8;26757;M;1338;1229;0
5;35-44;Vorarlberg;8;26809;W;1526;1399;0
5;35-44;Wien;9;138896;M;5422;1555;2
5;35-44;Wien;9;137113;W;5628;1446;1
5;35-44;Österreich;10;590628;M;24529;18417;11
5;35-44;Österreich;10;584117;W;27028;20209;4
