Datum;BundeslandID;Name;Bevölkerung;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;EingetrageneImpfungen;EingetrageneImpfungenPro100;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100
2021-01-10T00:00:00+01:00;1;Burgenland;294436;1260;0.43;3995;1.36;64;0.02;64;0.02;0;0.00
2021-01-10T00:00:00+01:00;2;Kärnten;561293;4255;0.76;6830;1.22;1472;0.26;1472;0.26;0;0.00
2021-01-10T00:00:00+01:00;3;Niederösterreich;1684287;8160;0.48;20070;1.19;1013;0.06;1013;0.06;0;0.00
2021-01-10T00:00:00+01:00;4;Oberösterreich;1490279;3690;0.25;21515;1.44;753;0.05;753;0.05;0;0.00
2021-01-10T00:00:00+01:00;5;Salzburg;558410;3230;0.58;7140;1.28;310;0.06;310;0.06;0;0.00
2021-01-10T00:00:00+01:00;6;Steiermark;1246395;5990;0.48;17805;1.43;210;0.02;210;0.02;0;0.00
2021-01-10T00:00:00+01:00;7;Tirol;757634;4855;0.64;9665;1.28;138;0.02;138;0.02;0;0.00
2021-01-10T00:00:00+01:00;8;Vorarlberg;397139;985;0.25;9210;2.32;2824;0.71;2824;0.71;0;0.00
2021-01-10T00:00:00+01:00;9;Wien;1911191;6120;0.32;15285;0.80;0;0.00;0;0.00;0;0.00
2021-01-10T00:00:00+01:00;10;Österreich;8901064;38545;0.43;111515;1.25;6784;0.08;6784;0.08;0;0.00
2021-01-11T00:00:00+01:00;1;Burgenland;294436;1260;0.43;4230;1.44;64;0.02;64;0.02;0;0.00
2021-01-11T00:00:00+01:00;2;Kärnten;561293;3855;0.69;5875;1.05;1472;0.26;1472;0.26;0;0.00
2021-01-11T00:00:00+01:00;3;Niederösterreich;1684287;12140;0.72;20025;1.19;1014;0.06;1014;0.06;0;0.00
2021-01-11T00:00:00+01:00;4;Oberösterreich;1490279;3845;0.26;21385;1.43;757;0.05;757;0.05;0;0.00
2021-01-11T00:00:00+01:00;5;Salzburg;558410;3980;0.71;7190;1.29;331;0.06;331;0.06;0;0.00
2021-01-11T00:00:00+01:00;6;Steiermark;1246395;6255;0.50;18715;1.50;211;0.02;211;0.02;0;0.00
2021-01-11T00:00:00+01:00;7;Tirol;757634;5945;0.78;10685;1.41;154;0.02;154;0.02;0;0.00
2021-01-11T00:00:00+01:00;8;Vorarlberg;397139;6210;1.56;9210;2.32;3597;0.91;3597;0.91;0;0.00
2021-01-11T00:00:00+01:00;9;Wien;1911191;9435;0.49;15285;0.80;3959;0.21;3959;0.21;0;0.00
2021-01-11T00:00:00+01:00;10;Österreich;8901064;52925;0.59;112600;1.27;11559;0.13;11559;0.13;0;0.00
2021-01-12T00:00:00+01:00;1;Burgenland;294436;1500;0.51;4940;1.68;127;0.04;127;0.04;0;0.00
2021-01-12T00:00:00+01:00;2;Kärnten;561293;4810;0.86;5880;1.05;1549;0.28;1549;0.28;0;0.00
2021-01-12T00:00:00+01:00;3;Niederösterreich;1684287;13650;0.81;21680;1.29;1097;0.07;1097;0.07;0;0.00
2021-01-12T00:00:00+01:00;4;Oberösterreich;1490279;7145;0.48;20195;1.36;886;0.06;886;0.06;0;0.00
2021-01-12T00:00:00+01:00;5;Salzburg;558410;4335;0.78;9335;1.67;523;0.09;523;0.09;0;0.00
