Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;7722;2.62;10572;3.59;294436;1
Kärnten;18329;3.27;24017;4.28;561293;2
Niederösterreich;47806;2.84;57166;3.39;1684287;3
Oberösterreich;48976;3.29;71980;4.83;1490279;4
Salzburg;17833;3.19;22321;4.00;558410;5
Steiermark;43109;3.46;63947;5.13;1246395;6
Tirol;25540;3.37;31584;4.17;757634;7
Vorarlberg;16601;4.18;19259;4.85;397139;8
Wien;59191;3.10;92507;4.84;1911191;9
Österreich;285107;3.20;393353;4.42;8901064;10
Stand;2021-02-05 18:00;2021-02-05 18:00;2021-02-05 18:00;2021-02-05 18:00;2020-01-01 00:00;
