Datum;Auslieferungen;Bestellungen
2020-12-27;;
2020-12-28;;
2020-12-29;;
2020-12-30;;
2020-12-31;;
2021-01-01;;
2021-01-02;;
2021-01-03;;
2021-01-04;;
2021-01-05;8360;
2021-01-06;;
2021-01-07;15095;
2021-01-08;30150;
2021-01-09;31525;
2021-01-10;31885;
2021-01-11;38545;
2021-01-12;52925;130105
2021-01-13;63280;141685
2021-01-14;74100;163435
2021-01-15;84380;167905
2021-01-16;87195;183011
2021-01-17;102790;182656
2021-01-18;102790;184396
2021-01-19;140232;185374
2021-01-20;150703;194161
2021-01-21;161965;202431
2021-01-22;166956;210627
2021-01-23;169549;215567
2021-01-24;170144;216047
2021-01-25;170144;216047
2021-01-26;185643;242999
2021-01-27;189991;269449
2021-01-28;195886;289280
2021-01-29;208444;298424
2021-01-30;212450;305522
2021-01-31;215140;304951
2021-02-01;214725;306697
2021-02-02;214725;326125
2021-02-03;242083;369315
2021-02-04;257534;382671
2021-02-05;271837;393353
2021-02-06;285107;416233
2021-02-07;297493;417925
2021-02-08;307357;430399
2021-02-09;307357;442335
2021-02-10;346671;452805
2021-02-11;360727;467395
2021-02-12;381941;477153
2021-02-13;405355;498711
2021-02-14;413235;
