Datum;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
2021-01-09T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-09T23:59:59+01:00;1;294436;Burgenland;1260;0.43;3995;1.36
2021-01-09T23:59:59+01:00;2;561293;Kärnten;4255;0.76;6830;1.22
2021-01-09T23:59:59+01:00;3;1684287;Niederösterreich;8160;0.48;20070;1.19
2021-01-09T23:59:59+01:00;4;1490279;Oberösterreich;3690;0.25;21515;1.44
2021-01-09T23:59:59+01:00;5;558410;Salzburg;3230;0.58;7140;1.28
2021-01-09T23:59:59+01:00;6;1246395;Steiermark;5990;0.48;17805;1.43
2021-01-09T23:59:59+01:00;7;757634;Tirol;4855;0.64;9665;1.28
2021-01-09T23:59:59+01:00;8;397139;Vorarlberg;985;0.25;9210;2.32
2021-01-09T23:59:59+01:00;9;1911191;Wien;6120;0.32;15285;0.80
2021-01-09T23:59:59+01:00;10;8901064;Österreich;38545;0.43;111515;1.25
2021-01-10T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-10T23:59:59+01:00;1;294436;Burgenland;1260;0.43;4230;1.44
2021-01-10T23:59:59+01:00;2;561293;Kärnten;3855;0.69;5875;1.05
2021-01-10T23:59:59+01:00;3;1684287;Niederösterreich;12140;0.72;20025;1.19
2021-01-10T23:59:59+01:00;4;1490279;Oberösterreich;3845;0.26;21385;1.43
2021-01-10T23:59:59+01:00;5;558410;Salzburg;3980;0.71;7190;1.29
2021-01-10T23:59:59+01:00;6;1246395;Steiermark;6255;0.5;18715;1.50
2021-01-10T23:59:59+01:00;7;757634;Tirol;5945;0.78;10685;1.41
2021-01-10T23:59:59+01:00;8;397139;Vorarlberg;6210;1.56;9210;2.32
2021-01-10T23:59:59+01:00;9;1911191;Wien;9435;0.49;15285;0.80
2021-01-10T23:59:59+01:00;10;8901064;Österreich;52925;0.59;112600;1.27
2021-01-11T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-11T23:59:59+01:00;1;294436;Burgenland;1500;0.51;4940;1.68
2021-01-11T23:59:59+01:00;2;561293;Kärnten;4810;0.86;5880;1.05
2021-01-11T23:59:59+01:00;3;1684287;Niederösterreich;13650;0.81;21680;1.29
2021-01-11T23:59:59+01:00;4;1490279;Oberösterreich;7145;0.48;20195;1.36
2021-01-11T23:59:59+01:00;5;558410;Salzburg;4335;0.78;9335;1.67
2021-01-11T23:59:59+01:00;6;1246395;Steiermark;7560;0.61;25975;2.08
2021-01-11T23:59:59+01:00;7;757634;Tirol;7265;0.96;12790;1.69
2021-01-11T23:59:59+01:00;8;397139;Vorarlberg;7170;1.81;10210;2.57
2021-01-11T23:59:59+01:00;9;1911191;Wien;9845;0.52;19100;1.00
2021-01-11T23:59:59+01:00;10;8901064;Österreich;63280;0.71;130105;1.46
2021-01-12T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-12T23:59:59+01:00;1;294436;Burgenland;1800;0.61;5210;1.77
2021-01-12T23:59:59+01:00;2;561293;Kärnten;5710;1.02;9165;1.63
2021-01-12T23:59:59+01:00;3;1684287;Niederösterreich;14765;0.88;23530;1.40
2021-01-12T23:59:59+01:00;4;1490279;Oberösterreich;9450;0.63;20015;1.34
2021-01-12T23:59:59+01:00;5;558410;Salzburg;4910;0.88;10190;1.82
2021-01-12T23:59:59+01:00;6;1246395;Steiermark;10065;0.81;27060;2.17
2021-01-12T23:59:59+01:00;7;757634;Tirol;8135;1.07;13395;1.77
2021-01-12T23:59:59+01:00;8;397139;Vorarlberg;7415;1.87;10360;2.61
2021-01-12T23:59:59+01:00;9;1911191;Wien;11850;0.62;22760;1.19
2021-01-12T23:59:59+01:00;10;8901064;Österreich;74100;0.83;141685;1.59
2021-01-13T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-13T23:59:59+01:00;1;294436;Burgenland;3095;1.05;5505;1.87
2021-01-13T23:59:59+01:00;2;561293;Kärnten;5770;1.03;9150;1.63
2021-01-13T23:59:59+01:00;3;1684287;Niederösterreich;14960;0.89;24525;1.46
2021-01-13T23:59:59+01:00;4;1490279;Oberösterreich;9685;0.65;22460;1.51
2021-01-13T23:59:59+01:00;5;558410;Salzburg;6015;1.08;10825;1.94
2021-01-13T23:59:59+01:00;6;1246395;Steiermark;13685;1.1;29870;2.40
2021-01-13T23:59:59+01:00;7;757634;Tirol;9130;1.21;13125;1.73
2021-01-13T23:59:59+01:00;8;397139;Vorarlberg;8725;2.2;10360;2.61
2021-01-13T23:59:59+01:00;9;1911191;Wien;13315;0.7;37615;1.97
2021-01-13T23:59:59+01:00;10;8901064;Österreich;84380;0.95;163435;1.84
2021-01-14T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-14T23:59:59+01:00;1;294436;Burgenland;3095;1.05;5370;1.82
2021-01-14T23:59:59+01:00;2;561293;Kärnten;7270;1.3;9150;1.63
2021-01-14T23:59:59+01:00;3;1684287;Niederösterreich;15180;0.9;25475;1.51
2021-01-14T23:59:59+01:00;4;1490279;Oberösterreich;9675;0.65;24380;1.64
2021-01-14T23:59:59+01:00;5;558410;Salzburg;6355;1.14;10915;1.95
2021-01-14T23:59:59+01:00;6;1246395;Steiermark;14035;1.13;29740;2.39
2021-01-14T23:59:59+01:00;7;757634;Tirol;9355;1.23;13495;1.78
2021-01-14T23:59:59+01:00;8;397139;Vorarlberg;8915;2.24;10360;2.61
2021-01-14T23:59:59+01:00;9;1911191;Wien;13315;0.7;39020;2.04
2021-01-14T23:59:59+01:00;10;8901064;Österreich;87195;0.98;167905;1.89
2021-01-15T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-15T23:59:59+01:00;1;294436;Burgenland;3450;1.17;5370;1.82
2021-01-15T23:59:59+01:00;2;561293;Kärnten;7270;1.3;9510;1.69
2021-01-15T23:59:59+01:00;3;1684287;Niederösterreich;15905;0.94;27214;1.62
2021-01-15T23:59:59+01:00;4;1490279;Oberösterreich;10725;0.72;35622;2.39
2021-01-15T23:59:59+01:00;5;558410;Salzburg;6735;1.21;10915;1.95
2021-01-15T23:59:59+01:00;6;1246395;Steiermark;14730;1.18;29635;2.38
2021-01-15T23:59:59+01:00;7;757634;Tirol;9355;1.23;14153;1.87
2021-01-15T23:59:59+01:00;8;397139;Vorarlberg;9425;2.37;10360;2.61
2021-01-15T23:59:59+01:00;9;1911191;Wien;25195;1.32;40232;2.11
2021-01-15T23:59:59+01:00;10;8901064;Österreich;102790;1.15;183011;2.06
2021-01-16T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-16T23:59:59+01:00;1;294436;Burgenland;3450;1.17;5370;1.82
2021-01-16T23:59:59+01:00;2;561293;Kärnten;7270;1.3;9510;1.69
2021-01-16T23:59:59+01:00;3;1684287;Niederösterreich;15905;0.94;27214;1.62
2021-01-16T23:59:59+01:00;4;1490279;Oberösterreich;10725;0.72;35214;2.36
2021-01-16T23:59:59+01:00;5;558410;Salzburg;6735;1.21;10915;1.95
2021-01-16T23:59:59+01:00;6;1246395;Steiermark;14730;1.18;29635;2.38
2021-01-16T23:59:59+01:00;7;757634;Tirol;9355;1.23;14153;1.87
2021-01-16T23:59:59+01:00;8;397139;Vorarlberg;9425;2.37;10438;2.63
2021-01-16T23:59:59+01:00;9;1911191;Wien;25195;1.32;40207;2.10
2021-01-16T23:59:59+01:00;10;8901064;Österreich;102790;1.15;182656;2.05
2021-01-17T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-17T23:59:59+01:00;1;294436;Burgenland;4125;1.4;5370;1.82
2021-01-17T23:59:59+01:00;2;561293;Kärnten;9510;1.69;9510;1.69
2021-01-17T23:59:59+01:00;3;1684287;Niederösterreich;20713;1.23;27214;1.62
2021-01-17T23:59:59+01:00;4;1490279;Oberösterreich;19781;1.33;36954;2.48
2021-01-17T23:59:59+01:00;5;558410;Salzburg;8635;1.55;10915;1.95
2021-01-17T23:59:59+01:00;6;1246395;Steiermark;22675;1.82;29635;2.38
2021-01-17T23:59:59+01:00;7;757634;Tirol;12838;1.69;14153;1.87
2021-01-17T23:59:59+01:00;8;397139;Vorarlberg;9765;2.46;10438;2.63
2021-01-17T23:59:59+01:00;9;1911191;Wien;32190;1.68;40207;2.10
2021-01-17T23:59:59+01:00;10;8901064;Österreich;140232;1.58;184396;2.07
2021-01-18T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-18T23:59:59+01:00;1;294436;Burgenland;4410;1.5;5898;2.00
2021-01-18T23:59:59+01:00;2;561293;Kärnten;9510;1.69;9510;1.69
